pos,sql,local,localopt
testdata/logic_test/conditional:59,"SELECT a, NULLIF(a, 2), IF(a = 2, NULL, a) FROM t ORDER BY a",24383,51298
testdata/logic_test/aggregate:51,SELECT jsonb_agg(v) FROM kv,13529,24748
testdata/logic_test/join:853,SELECT * FROM xyu INNER JOIN xyv ON xyu.x = xyv.x AND xyu.y = xyv.y WHERE xyu.x = 1 AND xyu.y < 10,74771,152768
testdata/logic_test/aggregate:706,SELECT min(w) FROM xyz,28459,55505
testdata/logic_test/upsert:269,"SELECT * FROM abc ORDER BY (a, b, c)",18010,19305
testdata/logic_test/subquery:326,"SELECT * FROM (VALUES (1, 2, 3), (4, 5, 6)) AS foo (foo1, foo2, foo3)",6179,13800
testdata/logic_test/join:318,"SELECT o.x, t.y FROM onecolumn o LEFT OUTER JOIN twocolumn t ON (o.x=t.x AND t.x=44)",37544,78943
testdata/logic_test/insert:80,SELECT * FROM kv2,5671,8612
testdata/logic_test/alias_types:50,SELECT reverse(b) FROM aliases ORDER BY a,13989,29136
testdata/logic_test/alias_types:57,SELECT length(b::BYTES) FROM aliases ORDER BY a,15534,31290
testdata/logic_test/tuple:580,"SELECT * FROM uvw WHERE (u, v, w) >= (1, NULL, 3) ORDER BY u, v, w",43861,58961
testdata/logic_test/join:80,SELECT * FROM onecolumn AS a(x) RIGHT OUTER JOIN onecolumn AS b(y) ON a.x = b.y,20533,49863
testdata/logic_test/join:997,SELECT * FROM foo JOIN bar USING (b),30030,48514
testdata/logic_test/show_trace:229,"SELECT operation, regexp_replace(regexp_replace(message, 'wall_time:\d+', 'wall_time:...'), '\d\d\d\",24083,55171
testdata/logic_test/parallel_stmts:147,"SELECT k, v FROM kv ORDER BY k",8934,9976
testdata/logic_test/json:137,"SELECT bar FROM foo WHERE bar ?& ARRAY['a','b']",19948,26852
testdata/logic_test/select_index:595,SELECT * FROM abc WHERE (c IS NULL OR c=2) AND a>0,50746,59631
testdata/logic_test/select:580,SELECT * FROM b,6740,9784
testdata/logic_test/srfs:585,"SELECT * FROM generate_subscripts(ARRAY[3,2,1], 1, true)",7218,14061
testdata/logic_test/upsert:228,SELECT * FROM abc,7193,11267
testdata/logic_test/select_index:404,SELECT * FROM int WHERE a IS DISTINCT FROM 2,25797,34668
testdata/logic_test/json:185,SELECT b FROM multiple,6332,9504
testdata/logic_test/join:246,SELECT * FROM onecolumn AS a(x) FULL OUTER JOIN empty AS b(y) ON a.x = b.y ORDER BY a.x,23767,54854
testdata/logic_test/aggregate:701,SELECT min(y) FROM xyz,28173,50009
testdata/logic_test/aggregate:859,"SELECT bool_and(b), bool_or(b) FROM bools",15655,31133
testdata/logic_test/subquery:175,"SELECT (1, 2) IN (SELECT a, b FROM abc WHERE false)",21881,41917
testdata/logic_test/suboperators:142,"SELECT 1 = ANY(SELECT * FROM unnest(ARRAY[1.0, 1.1]))",15146,29736
testdata/logic_test/distinct:93,SELECT DISTINCT y AS w FROM xyz ORDER by y,14079,22086
testdata/logic_test/distinct:151,SELECT DISTINCT v FROM kv@idx WHERE v > 0,20272,34281
testdata/logic_test/default:91,"SELECT a, b <= now(), c >= 0.0 FROM t WHERE a = 2",39228,58955
testdata/logic_test/builtin_function:1267,"SELECT least(NULL, a, 5, NULL) FROM foo",11620,26918
testdata/logic_test/update:237,SELECT * FROM abc,6423,9181
testdata/logic_test/suboperators:316,"SELECT 1 < ALL(SELECT * FROM generate_series(1,3))",11561,23170
testdata/logic_test/postgresjoin:1848,"SELECT * FROM (SELECT name, n as s2_n, 2 as s2_2 FROM t2) as s2 NATURAL FULL JOIN (SELECT name, n as",36551,64931
testdata/logic_test/aggregate:36,"SELECT min(v), max(v), count(v), sum_int(1), avg(v), sum(v), stddev(v), variance(v), bool_and(v = 1)",81814,115906
testdata/logic_test/uuid:22,SELECT * FROM u WHERE token < '63616665-6630-3064-6465-616462656564'::uuid,21453,27980
testdata/logic_test/ordinal_references:52,SELECT sum(a) AS s FROM foo GROUP BY @1 ORDER BY s,15194,44435
testdata/logic_test/limit:12,"SELECT generate_series FROM generate_series(1, 100) ORDER BY generate_series FETCH FIRST 5 ROWS ONLY",7172,14609
testdata/logic_test/decimal:307,SELECT * FROM s@idx WHERE d = 10,25577,40035
testdata/logic_test/collatedstring_index1:133,"SELECT b, a FROM t ORDER BY b, a",14238,19226
testdata/logic_test/aggregate:631,"SELECT min(a), min(b), min(c), min(d) FROM abc",29239,36563
testdata/logic_test/union:235,SELECT * FROM a UNION ALL SELECT * FROM b,9090,12714
testdata/logic_test/suboperators:162,"SELECT 1 = ANY(SELECT * FROM unnest(ARRAY[2, NULL]))",13095,26184
testdata/logic_test/select_index:516,SELECT a FROM t2 WHERE b = 2 OR ((b BETWEEN 2 AND 1) AND ((s != 'a') OR (s = 'a'))),72839,88143
testdata/logic_test/select:284,SELECT * FROM xyzw LIMIT (random() * 0.0)::int OFFSET (random() * 0.0)::int,14580,25315
testdata/logic_test/create_as:20,SELECT * FROM itemTypes,6337,11406
testdata/logic_test/bytes:132,"SELECT b, b::STRING FROM t",9136,20574
testdata/logic_test/union:168,SELECT v FROM uniontest WHERE k = 1 EXCEPT SELECT v FROM uniontest WHERE k = 2,43545,66749
testdata/logic_test/show_trace:65,"SELECT operation, regexp_replace(message, 'wall_time:\d+', 'wall_time:...') as message   FROM [SHOW ",23569,51274
testdata/logic_test/order_by:29,SELECT c FROM t ORDER BY c DESC,9486,12939
testdata/logic_test/distinct:143,SELECT DISTINCT v FROM kv@idx,7494,14247
testdata/logic_test/aggregate:384,"SELECT upper(s), count(DISTINCT s), count(DISTINCT upper(s)) FROM kv GROUP BY upper(s) HAVING count(",41175,72097
testdata/logic_test/time:245,SELECT * FROM arrays,5764,9616
testdata/logic_test/suboperators:157,"SELECT 1 = ANY(SELECT * FROM unnest(ARRAY[1, NULL]))",13206,27154
testdata/logic_test/postgres_jsonb:99,SELECT test_json ->> 'field6' FROM test_jsonb WHERE json_type = 'object',26743,46200
testdata/logic_test/order_by:43,"SELECT a, b FROM t ORDER BY b DESC",11036,15054
testdata/logic_test/delete:94,SELECT * FROM unindexed,5328,8866
testdata/logic_test/collatedstring_index1:41,"SELECT b, a FROM t ORDER BY b, a",12273,18917
testdata/logic_test/uuid:65,SELECT token FROM u WHERE token=b'cafef00ddeadbeef',22273,30991
testdata/logic_test/select:414,"SELECT (1, NULL::int) IN (SELECT * FROM (VALUES (1, 1)) AS t(a, b))",15781,44819
testdata/logic_test/aggregate:711,"SELECT min(x) FROM xyz WHERE x in (0, 4, 7)",47083,83330
testdata/logic_test/srfs:66,"SELECT * FROM PG_CATALOG.generate_series(1, 3)",4841,8410
testdata/logic_test/select:35,SELECT * FROM abc,6608,8298
testdata/logic_test/limit:139,"SELECT k, v FROM t ORDER BY k LIMIT (SELECT count(*)-3 FROM t) OFFSET (SELECT count(*)-5 FROM t)",49525,114688
testdata/logic_test/join:254,SELECT * FROM onecolumn AS a FULL OUTER JOIN empty AS b USING(x) ORDER BY x,18972,55022
testdata/logic_test/rows_from:3,"SELECT * FROM ROWS FROM (generate_series(1,2), generate_series(4,8))",6264,11808
testdata/logic_test/insert:160,"SELECT v, k FROM kv5@a",8966,9411
testdata/logic_test/uuid:15,SELECT * FROM u ORDER BY token,9436,11513
testdata/logic_test/union:173,SELECT v FROM uniontest WHERE k = 1 EXCEPT ALL SELECT v FROM uniontest WHERE k = 2,41178,66570
testdata/logic_test/truncate:34,SELECT * FROM kview,20268,19900
testdata/logic_test/select_index:56,SELECT k FROM tab0 WHERE (a IN (6) AND a > 6) OR b >= 4,41407,46696
testdata/logic_test/select:84,SELECT a+b+c AS foo FROM abc,14360,28734
testdata/logic_test/select:162,SELECT test.public.kv.* FROM test.kv,5780,8259
testdata/logic_test/aggregate:197,"SELECT count(*), k FROM kv GROUP BY k",17233,26053
testdata/logic_test/suboperators:207,"SELECT * FROM abc WHERE a = ANY(SELECT * FROM unnest(ARRAY[1, NULL]))",27076,50668
testdata/logic_test/select:516,SELECT * FROM a WHERE x > 1,17268,22794
testdata/logic_test/postgres_jsonb:69,SELECT test_json -> 9 FROM test_jsonb WHERE json_type = 'array',26861,54003
testdata/logic_test/distinct_on:53,"SELECT DISTINCT ON (y, x, z) x FROM xyz",14819,25036
testdata/logic_test/create_as:57,SELECT * FROM unionstock ORDER BY quantity LIMIT 1,9792,22310
testdata/logic_test/aggregate:299,"SELECT count(*), upper(s) FROM kv GROUP BY upper(s)",20049,36986
testdata/logic_test/bytes:140,"SELECT b, b::STRING FROM t",9334,20662
testdata/logic_test/uuid:27,SELECT * FROM u WHERE token <= '63616665-6630-3064-6465-616462656564'::uuid ORDER BY token,24171,31029
testdata/logic_test/upsert:394,SELECT * FROM issue_13962,6808,11117
testdata/logic_test/suboperators:216,"SELECT * FROM abc WHERE a = ANY(SELECT * FROM unnest(ARRAY[NULL, NULL]))",25508,47916
testdata/logic_test/select_table_alias:14,SELECT * FROM abc,6692,8266
testdata/logic_test/select_index:536,SELECT w FROM t3 WHERE v > 0 AND v < 100 ORDER BY v,39852,58314
testdata/logic_test/decimal:276,SELECT * FROM s@idx WHERE d = 0,25176,35997
testdata/logic_test/typing:61,SELECT * FROM s WHERE x > b'\x00',18163,24047
testdata/logic_test/select_index:261,"SELECT k, v FROM str WHERE v LIKE 'ABC%'",18123,23098
testdata/logic_test/select:306,SELECT xyzw.y FROM test.xyzw@foo WHERE z = 3,22367,36607
testdata/logic_test/computed:134,"SELECT c, d FROM x",8209,11389
testdata/logic_test/schema_change_in_txn:179,SELECT * FROM warehouse@bar,9002,15046
testdata/logic_test/limit:101,"SELECT k FROM (SELECT k, v FROM t ORDER BY v LIMIT 4)",17386,27154
testdata/logic_test/join:830,"SELECT * FROM xyu LEFT OUTER JOIN xyv USING(x, y) WHERE x > 2",45036,90723
testdata/logic_test/collatedstring_index2:28,"SELECT a, b FROM t ORDER BY a, b",11972,15378
testdata/logic_test/suboperators:96,"SELECT * FROM abc WHERE a = ANY(ARRAY[1, NULL])",24448,27404
testdata/logic_test/rename_table:18,SELECT * FROM kv,5171,8555
testdata/logic_test/aggregate:641,"SELECT avg(b), sum(b), avg(d), sum(d) FROM abc",25590,39682
testdata/logic_test/upsert:427,SELECT * FROM issue_14052_2;,6879,8250
testdata/logic_test/suboperators:122,"SELECT 1 = ANY(SELECT * FROM generate_series(2,4))",12423,25321
testdata/logic_test/rename_view:153,SELECT * FROM test2.v,18462,20830
testdata/logic_test/float:76,SELECT * FROM i WHERE f = 0,24414,42244
testdata/logic_test/array:73,"SELECT NULL::INT[] IS DISTINCT FROM NULL, ARRAY[1,2,3] IS DISTINCT FROM NULL",16229,39811
testdata/logic_test/aggregate:378,"SELECT s, count(*) FROM kv GROUP BY s HAVING count(*) > 1",28125,50277
testdata/logic_test/srfs:623,"SELECT * FROM generate_subscripts(ARRAY[3,2,1], 2, true)",7164,15739
testdata/logic_test/tuple:297,"SELECT (1, 2) > (1.0, 2.0) AS r   FROM tb",14860,33638
testdata/logic_test/select_table_alias:52,"SELECT foo1, foo.foo1, b, foo.c FROM abc AS foo (foo1)",12618,11789
testdata/logic_test/select:618,"SELECT 1, * FROM nocols",6031,15154
testdata/logic_test/schema_change_in_txn:383,SELECT * FROM children,7765,10989
testdata/logic_test/postgres_jsonb:24,SELECT test_json -> 'x' FROM test_jsonb WHERE json_type = 'scalar',27703,48209
testdata/logic_test/join:898,"SELECT * FROM (SELECT * FROM xyu ORDER BY x, y) AS xyu FULL OUTER JOIN (SELECT * FROM xyv ORDER BY x",52456,98765
testdata/logic_test/select_index:268,"SELECT k, v FROM str WHERE v LIKE 'ABC%Z'",19550,25572
testdata/logic_test/select_index:376,SELECT * FROM bool2 WHERE a IS NOT TRUE,19328,28549
testdata/logic_test/decimal:181,SELECT * FROM s WHERE d = 'NaN',22938,38713
testdata/logic_test/select:419,"SELECT (2, NULL::int) IN (SELECT * FROM (VALUES (1, 1)) AS t(a, b))",15999,45284
testdata/logic_test/optimizer:54,SELECT * FROM t WHERE EXISTS(SELECT * FROM xy WHERE x=t.k),60015,50251
testdata/logic_test/join:178,SELECT * FROM empty AS a CROSS JOIN onecolumn AS b,11906,27313
testdata/logic_test/distinct:84,"SELECT DISTINCT y AS w, z FROM xyz ORDER by z, w",14968,23136
testdata/logic_test/collatedstring_uniqueindex1:44,"SELECT b, a FROM t ORDER BY b, a",14403,16533
testdata/logic_test/schema_change_in_txn:214,SELECT * FROM hood,8161,12250
testdata/logic_test/order_by:101,SELECT b FROM t ORDER BY a DESC,11687,13902
testdata/logic_test/rows_from:47,"SELECT * FROM ROWS FROM (current_user, generate_series(1,2))",6511,11602
testdata/logic_test/suboperators:117,"SELECT 1 = ANY(SELECT * FROM generate_series(1,3))",12385,25851
testdata/logic_test/serializable_eager_restart:36,SELECT * FROM t,5932,10143
testdata/logic_test/select_index:110,"SELECT * FROM t12022@i WHERE (c1, c2) < (2, true) ORDER BY (c1, c2);",40706,58505
testdata/logic_test/parallel_stmts:173,"SELECT k, v FROM kv ORDER BY k",9086,9968
testdata/logic_test/ordinality:3,"SELECT * FROM (VALUES ('a'), ('b')) WITH ORDINALITY AS x(name, i)",4612,10527
testdata/logic_test/ordinality:10,"SELECT ordinality FROM (VALUES ('a'), ('b')) WITH ORDINALITY",5573,14488
testdata/logic_test/union:145,SELECT v FROM uniontest WHERE k = 1 UNION ALL SELECT v FROM uniontest WHERE k = 2,41513,65080
testdata/logic_test/subquery:417,SELECT x FROM xyz WHERE x = 7 LIMIT (SELECT x FROM xyz WHERE x = 1),39151,62084
testdata/logic_test/decimal:95,SELECT * FROM t2 ORDER BY d,8591,10400
testdata/logic_test/srfs:618,"SELECT * FROM generate_subscripts(ARRAY[3,2,1], 2, false)",7247,14827
testdata/logic_test/tuple:276,"SELECT 1 IN (2, NULL) AS r   FROM tb",9906,30225
testdata/logic_test/aggregate:696,SELECT min(x) FROM xyz,28241,50064
testdata/logic_test/where:39,SELECT * FROM kv WHERE v IN (6),18531,21690
testdata/logic_test/select_table_alias:28,SELECT * FROM abc AS foo (foo1),6344,8614
testdata/logic_test/select:464,"SELECT (NULL::int, NULL::int) NOT IN (SELECT * FROM (VALUES (1, 1)) AS t(a, b))",16353,47585
testdata/logic_test/no_primary_key:57,SELECT rowid FROM t WHERE a = 10,24203,37026
testdata/logic_test/where:21,SELECT * FROM kv WHERE True,6417,9431
testdata/logic_test/serial:32,"SELECT count(DISTINCT a), count(DISTINCT b), count(DISTINCT c) FROM serial",22664,41602
testdata/logic_test/fk:377,SELECT count(*) FROM delivery,9568,19827
testdata/logic_test/select_search_path:98,SELECT count(*) FROM words,9065,17176
testdata/logic_test/limit:132,"SELECT k, v FROM t ORDER BY k OFFSET (SELECT count(*)-3 FROM t)",33670,63304
testdata/logic_test/default:56,"SELECT a, b <= now(), c >= 0.0 FROM t",28547,37146
testdata/logic_test/tuple:873,"SELECT (t.*).* FROM t ORDER BY 1,2",12838,19913
testdata/logic_test/select:295,"SELECT z, y FROM xyzw@foo",9576,11809
testdata/logic_test/insert:395,SELECT * FROM insert_t,7715,11980
testdata/logic_test/datetime:930,"SELECT a, b, c FROM tz ORDER BY a",12884,13729
testdata/logic_test/aggregate:531,"SELECT count((k, v)) FROM kv OFFSET 1",16908,42720
testdata/logic_test/computed:233,"SELECT a, b, c, d FROM x",10387,10693
testdata/logic_test/aggregate:15,"SELECT min(1), max(1), count(1), sum_int(1), avg(1), sum(1), stddev(1), variance(1), bool_and(true),",52230,84930
testdata/logic_test/update:382,SELECT * FROM tu,6602,8680
testdata/logic_test/tuple:676,"SELECT ((2, 2) AS a, b) < ((1, 1) AS c, d) AS r       ,((2, 2) AS a, b) < (1, 2) AS s       ,(2, 2) ",32151,66077
testdata/logic_test/subquery:340,SELECT * FROM (SELECT * FROM xyz) AS foo WHERE x < 7,22429,23862
testdata/logic_test/serializable_eager_restart:57,SELECT * FROM t,5006,10050
testdata/logic_test/select_index:81,"SELECT * FROM t12022@i WHERE (c1, c2) > (1, false) ORDER BY (c1, c2);",37361,54629
testdata/logic_test/distinct_on:229,"SELECT DISTINCT ON(min(a), max(b), min(c)) max(c) FROM abc",36207,55914
testdata/logic_test/aggregate:586,"SELECT avg(k::decimal), avg(v::decimal), sum(k::decimal), sum(v::decimal) FROM kv",29566,58951
testdata/logic_test/array:475,SELECT b FROM a,7634,10943
testdata/logic_test/alter_table:364,SELECT * FROM t,10344,13745
testdata/logic_test/views:146,SELECT * FROM test.v6,34048,30222
testdata/logic_test/update:290,SELECT * FROM lots,10447,13177
testdata/logic_test/tuple:667,"SELECT ((1, 2, 'hello', NULL, NULL) AS a1, b2, c3, d4, e5) AS r,        ((true, NULL, (false, 6.6, f",20538,39053
testdata/logic_test/prepare:227,SELECT * FROM f,8172,12383
testdata/logic_test/pgoidtype:279,SELECT * FROM o WHERE a <= 4,18070,23535
testdata/logic_test/limit:73,"SELECT k, v FROM t ORDER BY v LIMIT (1+4) OFFSET 1",15007,27804
testdata/logic_test/aggregate:615,SELECT max(v) FROM kv WHERE k=100,36696,73103
testdata/logic_test/postgres_jsonb:79,SELECT test_json ->> 6 FROM test_jsonb WHERE json_type = 'array',30288,48795
testdata/logic_test/aggregate:835,SELECT x > (SELECT avg(0)) FROM xyz LIMIT 1,21341,62307
testdata/logic_test/suboperators:183,SELECT * FROM abc WHERE a > ANY(SELECT a FROM abc WHERE b = 30),38567,76620
testdata/logic_test/datetime:70,SELECT * FROM u ORDER BY a,11511,11840
testdata/logic_test/array:755,SELECT b FROM a,6705,12410
testdata/logic_test/tuple:747,"SELECT ((          (           (((1, '2', 3) AS a, b, c),            ((4,'5') AS a, b), 		   (ROW(6)",16280,53237
testdata/logic_test/alter_table:458,SELECT * FROM add_default,5758,10417
testdata/logic_test/alter_table:501,"SELECT a,b FROM add_default WHERE e > d AND e - d < interval '10s'",40693,50989
testdata/logic_test/datetime:225,SELECT count(DISTINCT (v)) FROM kv,13825,25130
testdata/logic_test/aggregate:1163,SELECT 123 FROM kv ORDER BY max(v),27487,49826
testdata/logic_test/upsert:281,"SELECT * FROM abc ORDER BY (a, b, c)",26270,20699
testdata/logic_test/subquery:333,"SELECT * FROM (VALUES (1, 2, 3), (4, 5, 6)) AS foo (foo1, foo2)",6162,13591
testdata/logic_test/subquery:368,"SELECT * FROM (SELECT * FROM xyz AS moo (moo1, moo2, moo3) ORDER BY moo1) as foo (foo1) WHERE foo1 <",25848,32310
testdata/logic_test/select:61,SELECT * FROM abc WHERE a = NULL,15489,15816
testdata/logic_test/postgres_jsonb:131,SELECT (test_json->>'field3') IS NULL AS expect_true FROM test_jsonb WHERE json_type = 'object';,31711,58045
testdata/logic_test/optimizer:82,SELECT * FROM tview,20784,20655
testdata/logic_test/show_trace:41,"SELECT operation, message FROM [SHOW KV TRACE FOR SESSION] WHERE message NOT LIKE '%Z/%'   AND tag N",20065,38780
testdata/logic_test/select_index:273,"SELECT k, v FROM str WHERE v SIMILAR TO 'ABC_*'",23376,31256
testdata/logic_test/datetime:387,"SELECT k, extract(element, input::timestamp) = extract_result, extract(element, input::timestamp) FR",28148,47450
testdata/logic_test/serializable_eager_restart:21,SELECT * FROM t,4966,9553
testdata/logic_test/check_constraints:192,SELECT * FROM t5,6861,8599
testdata/logic_test/storing:30,"SELECT a, b, c, d FROM t@b_idx",10917,10805
testdata/logic_test/aggregate:773,SELECT stddev(x) FROM xyz WHERE x = 1,28746,106102
testdata/logic_test/uuid:60,SELECT token FROM u WHERE token='urn:uuid:63616665-6630-3064-6465-616462656562',27668,36288
testdata/logic_test/truncate:49,SELECT * FROM kview,22317,19952
testdata/logic_test/postgres_jsonb:114,SELECT test_json ->> 2 FROM test_jsonb WHERE json_type = 'object',26504,49869
testdata/logic_test/poison_after_push:84,SELECT * FROM t ORDER BY id,7271,9636
testdata/logic_test/array:659,SELECT b FROM a,5979,10639
testdata/logic_test/create_as:45,SELECT * FROM unionstock ORDER BY quantity,8580,18048
testdata/logic_test/aggregate:449,"SELECT v, count(k) FROM kv GROUP BY v ORDER BY v DESC",21246,30272
testdata/logic_test/where:116,"SELECT * FROM ab WHERE (a, b) IN ((1, 10), (4, NULL), (NULL, 50))",38403,47021
testdata/logic_test/typing:132,SELECT ts FROM untyped WHERE ts != '2015-09-18 00:00:00',34369,40087
testdata/logic_test/poison_after_push:49,SELECT * FROM t ORDER BY id,7487,10482
testdata/logic_test/json:494,SELECT true FROM x WHERE j->'a' @> '2'::JSONB,24813,38314
testdata/logic_test/join:198,SELECT * FROM onecolumn AS a(x) LEFT OUTER JOIN empty AS b(y) ON a.x = b.y ORDER BY a.x,23474,52930
testdata/logic_test/inet:873,SELECT host(max('192.168.0.2/24'::INET)) FROM (VALUES (1)) AS t(x),19050,45230
testdata/logic_test/update:218,SELECT * FROM abc,6489,9458
testdata/logic_test/system:29,SELECT * FROM system.namespace,162009,173304
testdata/logic_test/order_by:57,"SELECT a, b FROM t ORDER BY b DESC LIMIT 2",12229,21210
testdata/logic_test/delete:34,SELECT * FROM kview,22610,24405
testdata/logic_test/srfs:638,"SELECT * FROM generate_subscripts(ARRAY[3,2,1], 0, true)",7016,15906
testdata/logic_test/parallel_stmts:223,"SELECT k, v FROM kv ORDER BY k",9020,9759
testdata/logic_test/aggregate:655,SELECT sum(a) FROM intervals,10915,20544
testdata/logic_test/views:70,SELECT * FROM v7 ORDER BY x LIMIT 1,41852,52847
testdata/logic_test/subquery:459,"SELECT * FROM z WHERE CAST(COALESCE((SELECT 'a'), (SELECT 'a')) AS bytea) < 'a'",28645,45358
testdata/logic_test/parallel_stmts:287,"SELECT k, v FROM kv ORDER BY k",8589,10366
testdata/logic_test/order_by:241,SELECT a FROM abc ORDER BY a DESC,13631,14767
testdata/logic_test/aggregate:746,"SELECT max(x) FROM xyz WHERE (z, y) = (3.0, 2)",57639,92753
testdata/logic_test/join:411,SELECT * FROM onecolumn JOIN twocolumn ON twocolumn.x = onecolumn.x AND onecolumn.x IN (SELECT x FRO,61684,122425
testdata/logic_test/array:347,"SELECT k FROM t WHERE k = ANY ARRAY[2,4]",20882,28934
testdata/logic_test/aggregate:768,"SELECT stddev(x), stddev(y::decimal), round(stddev(z), 14) FROM xyz",29105,65266
testdata/logic_test/zero:181,"SELECT * FROM (VALUES (-0.0::DECIMAL), (-0::DECIMAL), (0::DECIMAL), (-0.00::DECIMAL)) ORDER BY 1",8219,18874
testdata/logic_test/subquery:422,SELECT x FROM xyz ORDER BY x OFFSET (SELECT x FROM xyz WHERE x = 1),31566,48556
testdata/logic_test/join:747,SELECT x FROM t1 NATURAL JOIN (SELECT * FROM t2),26897,65854
testdata/logic_test/distinct_on:248,SELECT DISTINCT ON(min(x)) min(x) FROM xyz GROUP BY y HAVING min(x) = 1,35619,66382
testdata/logic_test/distinct_on:286,SELECT DISTINCT ON (1) x FROM xyz,7772,16712
testdata/logic_test/array:903,SELECT b FROM a,7540,10119
testdata/logic_test/select_index:465,SELECT * FROM noncover WHERE c > 0 ORDER BY c DESC,28192,39270
testdata/logic_test/join:884,"SELECT * FROM (SELECT * FROM xyu ORDER BY x, y) AS xyu LEFT OUTER JOIN (SELECT * FROM xyv ORDER BY x",63764,114039
testdata/logic_test/join:891,"SELECT * FROM (SELECT * FROM xyu ORDER BY x, y) AS xyu RIGHT OUTER JOIN (SELECT * FROM xyv ORDER BY ",59757,106548
testdata/logic_test/family:34,SELECT * FROM abcd,7380,13090
testdata/logic_test/distinct:68,"SELECT DISTINCT y, z FROM xyz ORDER BY y, z",14104,22820
testdata/logic_test/uuid:104,SELECT token::string FROM u WHERE token=b'cafef00ddeadbeef',22168,40937
testdata/logic_test/order_by:312,SELECT x FROM nan ORDER BY x,8224,11536
testdata/logic_test/json_builtins:411,"SELECT json_build_object(a,3) FROM (SELECT 1 AS a, 2 AS b) r",9429,23451
testdata/logic_test/join:96,SELECT * FROM onecolumn AS a NATURAL RIGHT OUTER JOIN onecolumn AS b,15600,41262
testdata/logic_test/join:326,"SELECT * FROM (SELECT x, 2 two FROM onecolumn) NATURAL FULL JOIN (SELECT x, y+1 plus1 FROM twocolumn",37535,80394
testdata/logic_test/views:112,SELECT y FROM v7 ORDER BY x LIMIT 1,42829,55625
testdata/logic_test/select:66,"SELECT *,* FROM abc",12051,11493
testdata/logic_test/join:1032,"SELECT * FROM foo, bar WHERE foo.b = bar.b",30097,52055
testdata/logic_test/builtin_function:1272,"SELECT least(NULL, NULL, NULL, a, -1) FROM foo",12401,28932
testdata/logic_test/aggregate:516,"SELECT count(*) FROM kv a, kv b",17144,38897
testdata/logic_test/crdb_internal:55,SELECT * FROM testdb.foo,5444,9756
testdata/logic_test/aggregate:867,"SELECT bool_and(b), bool_or(b) FROM bools",15737,28724
testdata/logic_test/select:359,SELECT a FROM MaxIntTest WHERE a = 9223372036854775807,17537,22704
testdata/logic_test/join:1018,SELECT * FROM foo JOIN bar ON foo.b = bar.b,27637,51359
testdata/logic_test/float:67,SELECT * FROM i WHERE f = 0,21150,35198
testdata/logic_test/distinct_on:148,SELECT DISTINCT ON (c) a FROM abc,13053,20538
testdata/logic_test/distinct_on:241,SELECT DISTINCT ON(y) min(x) FROM xyz GROUP BY y,25025,33573
testdata/logic_test/datetime:251,SELECT count(DISTINCT (v)) FROM kv,12559,23562
testdata/logic_test/aggregate:1088,"SELECT x, max(y) FROM group_ord GROUP BY x ORDER BY x",19898,31854
testdata/logic_test/tuple:33,"SELECT   (2, 2) < (1, 1) AS a,   (2, 2) < (1, 2) AS b,   (2, 2) < (1, 3) AS c,   (2, 2) < (2, 1) AS ",89470,142656
testdata/logic_test/ordinality:36,"SELECT * FROM foo WITH ORDINALITY AS a, foo WITH ORDINALITY AS b",13903,20758
testdata/logic_test/default:72,"SELECT a, b <= now(), c >= 0.0 FROM t WHERE a = 2",40637,61213
testdata/logic_test/aggregate:1006,"SELECT to_hex(xor_agg(a)), xor_agg(c) FROM xor_bytes",20378,42446
testdata/logic_test/join:404,SELECT * FROM (onecolumn CROSS JOIN twocolumn JOIN onecolumn AS a(b) ON a.b=twocolumn.x JOIN twocolu,48892,146188
testdata/logic_test/statement_source:67,SELECT * FROM a ORDER BY b,6811,11719
testdata/logic_test/srfs:18,"SELECT * FROM generate_series('2017-11-11 00:00:00'::TIMESTAMP, '2017-11-11 03:00:00'::TIMESTAMP, '1",5456,11077
testdata/logic_test/select_table_alias:71,"SELECT * FROM abc AS foo (foo1, foo2) WHERE foo.c = 6",20986,26680
testdata/logic_test/select_index:365,SELECT * FROM bool2 WHERE a IS NOT NULL,20593,22793
testdata/logic_test/rename_database:80,SELECT * FROM kv,5153,8225
testdata/logic_test/order_by:63,"SELECT DISTINCT c, b FROM t ORDER BY b DESC LIMIT 2",12797,27556
testdata/logic_test/txn:105,SELECT * FROM kv,5312,13260
testdata/logic_test/distinct_on:310,"SELECT y FROM (SELECT DISTINCT ON(y) x AS y, y AS x FROM xyz)",12934,25519
testdata/logic_test/distinct_on:358,"SELECT DISTINCT ON (x, y, z) pk1 FROM (SELECT * FROM xyz WHERE x >= 2) ORDER BY x",38698,49951
testdata/logic_test/collatedstring_constraint:82,SELECT b FROM c2 ORDER BY a,10471,13510
testdata/logic_test/order_by:381,SELECT k FROM kv ORDER BY INDEX kv@foo,13416,16221
testdata/logic_test/datetime:962,SELECT a FROM tz WHERE c = d::timestamp,21184,31458
testdata/logic_test/select_index_flags:74,"SELECT c, d FROM abcd WHERE c >= 20 AND c < 40",38420,49426
testdata/logic_test/ordinality:65,SELECT * FROM foo WITH ORDINALITY WHERE ordinality > 1 ORDER BY ordinality DESC,14621,56394
testdata/logic_test/views:161,SELECT * FROM test.v7 ORDER BY x LIMIT 1,43698,50541
